,Unnamed: 0,price,score,reviews,guest,bedroom,bed,bath,amentity_wifi,amentity_dryer,amentity_essentials,amentity_hangers,amentity_hair_dryer,amentity_washer,amentity_iron,amentity_air_conditioning,score_cleanliness,score_accuracy,score_communication,score_location,score_check_in,score_value,is_host_verified,is_superhost,no_pets,can_parties,can_smoking,service_fee,amentity_elevator,amentity_kitchen,amentity_cable_tv,amentity_tv,host_reviews,host_response_rate,host_response_time,amentity_laptop-friendly_workspace,amentity_first_aid_kit,amentity_indoor_fireplace,amentity_heating,amentity_carbon_monoxide_alarm,amentity_free_parking_on_premises,amentity_breakfast,amentity_hot_tub,cleaning_fee,amentity_fire_extinguisher,amentity_gym,amentity_pool,amentity_smoke_alarm,amentity_free_street_parking,amentity_private_entrance,amentity_room-darkening_shades,amentity_building_staff,amentity_paid_parking_off_premises,amentity_high_chair,amentity_bathtub,shared_bath,private_bath,amentity_private_living_room,amentity_lock_on_bedroom_door,is_dong_nai,is_binh_duong,is_ngoai_tinh,is_phu_nhuan,is_tan_phu,is_binh_tan,is_quan_4,is_can_gio,is_nha_be,is_quan_5,is_go_vap,is_binh_chanh,is_quan_12,is_tan_binh,is_quan_3,is_quan_7,is_hoc_mon,is_quan_9,is_quan_8,is_quan_6,is_quan_2,is_quan_10,is_quan_1,is_quan_11,is_cu_chi,is_thu_duc,is_binh_thanh,is_entire_home,is_private_room,is_hotel_room,is_shared_room
1318,1318,38,0,0,2,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,6,0,1,0,1,3,50,4,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1319,1319,38,4.67,3,5,2,4,2,1,1,1,1,1,1,0,0,4.7,5,5,5,5,5,0,1,0,1,1,7,0,1,0,0,245,100,1,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1320,1320,38,0,0,2,0,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,1,0,1,2,50,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1321,1321,36,0,0,4,2,2,2,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,0,1,0,33,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1322,1322,38,0,0,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,7,1,1,1,0,10,30,0,0,0,1,1,0,1,0,0,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1323,1323,38,0,0,2,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,8,0,1,0,1,0,100,2,0,0,1,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1324,1324,37,0,1,2,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,7,0,1,0,1,23,100,1,0,0,0,0,0,0,0,0,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1325,1325,38,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,1,0,1,0,30,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1326,1326,37,0,0,2,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1327,1327,36,4,4,2,0,1,1,1,0,1,1,0,0,0,0,4.2,3.5,4.5,4,4.2,4.2,1,0,0,0,1,6,1,1,0,1,16,30,0,0,0,0,0,0,1,0,0,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1328,1328,36,0,1,5,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,1,1,0,0,14,100,1,0,0,1,1,0,1,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1329,1329,39,0,0,2,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,6,0,1,0,1,2,100,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1330,1330,39,4.93,46,2,1,1,1,1,0,1,0,0,0,0,0,4.8,5,4.9,4.9,5,4.9,0,1,0,0,1,6,1,1,0,0,455,100,1,0,0,0,1,0,1,0,1,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1331,1331,39,5,5,2,1,1,1,1,0,1,1,0,0,0,0,5,5,5,5,5,5,0,1,0,0,1,6,1,1,1,1,20,100,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1332,1332,40,4.79,90,3,1,1,1,1,0,1,0,0,0,0,0,4.6,4.9,5,4.8,5,4.7,0,1,0,1,1,7,1,1,1,1,126,100,1,0,0,1,0,0,1,0,0,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1333,1333,41,0,0,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,1,0,1,0,100,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1334,1334,40,4.67,3,2,1,1,1,1,1,1,0,0,0,0,0,4.7,4.3,4,5,4.3,4.7,0,0,0,1,1,6,1,1,0,1,22,30,3,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1335,1335,40,0,0,4,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,1,0,1,0,30,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1336,1336,35,4.82,34,2,1,1,1.5,1,0,1,0,0,0,0,0,4.8,4.8,4.8,4.7,4.8,4.8,0,1,0,1,1,6,1,1,1,1,36,100,1,0,0,0,1,0,1,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
